timestamp_of_message,year,month,day_of_month,hour,minute,second,millisecond,day_of_week,day_of_year,week_of_year,is_weekend,seconds_since_midnight,time_of_day_bucket,device_identifier,vendor,physical_site_id,geolocation_code,device_role,device_function,device_model_number,device_importance,version_number,module_name,severity,log_type,log_status,cid,oid,sequence_number,description,device_with_description,metadata,is_unhappy
Sep 25 2024 12:44:48,2024,9,25,12,44,48,0,2,269,39,0,45888,Afternoon,GPN-0375-MAP-URB-THU-AR12-01,GPN,0375,MAP,URB,THU,AR12,01,01,LLDP,4,BAD_PACKET,(l),,,,2 invalid packets were received after latest notification. The last invalid packet came from interface Ethernet0/0/2.,GPN-0375-MAP-URB-THU-AR12-01 -> 2 invalid packets were received after latest notification. The last invalid packet came from interface Ethernet0/0/2.,,
Sep 25 2024 12:44:48,2024,9,25,12,44,48,0,2,269,39,0,45888,Afternoon,GPN-0870-FAN-NHL-CLI-AR12-01,GPN,0870,FAN,NHL,CLI,AR12,01,01,LLDP,4,BAD_PACKET,(l),,,,2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,GPN-0870-FAN-NHL-CLI-AR12-01 -> 2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,,
Sep 25 2024 12:44:49,2024,9,25,12,44,49,0,2,269,39,0,45889,Afternoon,GPN-0225-TEM-EDU--AR12-01,GPN,0225,TEM,EDU,,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0225-TEM-EDU--AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:49,2024,9,25,12,44,49,0,2,269,39,0,45889,Afternoon,GPN-0484-GEO-MUK-HOS-AR12-01,GPN,0484,GEO,MUK,HOS,AR12,01,01,SECE,4,PORT_ATTACK,(l),,,,Port attack occurred.,GPN-0484-GEO-MUK-HOS-AR12-01 -> Port attack occurred.,"Slot=MPU, SourceAttackInterface=GigabitEthernet0/0/0, OuterVlan/InnerVlan=1001/0, AttackPackets=16 packets per second",
Sep 25 2024 12:44:49,2024,9,25,12,44,49,0,2,269,39,0,45889,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0484-GEO-MUK-HOS-AR12-01,GPN,0484,GEO,MUK,HOS,AR12,01,01,SECE,4,SPECIFY_SIP_ATTACK,(l),,,,The specified source IP address initiates an attack.,GPN-0484-GEO-MUK-HOS-AR12-01 -> The specified source IP address initiates an attack.,"Slot=MPU, SourceAttackIP = 172.31.96.2, AttackPackets=16 packets per second",
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=igmp, Drop-Count=10597",
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=nd, Drop-Count=4610",
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=arp-request, Drop-Count=88683",
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=dhcpv6-request, Drop-Count=7295",
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=unknown-packet, Drop-Count=127322",
Sep 25 2024 12:48:35,2024,9,25,12,48,35,0,2,269,39,0,46115,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:50,2024,9,25,12,44,50,0,2,269,39,0,45890,Afternoon,GPN-0065-STE-HOS--AR12-01,GPN,0065,STE,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0065-STE-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=unknown-multicast, Drop-Count=99472",
Sep 25 2024 12:44:51,2024,9,25,12,44,51,0,2,269,39,0,45891,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:52,2024,9,25,12,44,52,0,2,269,39,0,45892,Afternoon,GPN-0165-SOS-CLI--AR12-01,GPN,0165,SOS,CLI,,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0165-SOS-CLI--AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:52,2024,9,25,12,44,52,0,2,269,39,0,45892,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:16:08,2024,9,25,12,16,8,0,2,269,39,0,44168,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:16:08,2024,9,25,12,16,8,0,2,269,39,0,44168,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:54,2024,9,25,12,44,54,0,2,269,39,0,45894,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:54,2024,9,25,12,44,54,0,2,269,39,0,45894,Afternoon,GPN-0231-BOI-EDU--AR12-01,GPN,0231,BOI,EDU,,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0231-BOI-EDU--AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
Sep 25 2024 12:44:57,2024,9,25,12,44,57,0,2,269,39,0,45897,Afternoon,GPN-0287-TLA-CLI--AR12-01,GPN,0287,TLA,CLI,,AR12,01,01,LLDP,4,BAD_PACKET,(l),,,,2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,GPN-0287-TLA-CLI--AR12-01 -> 2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,,
Sep 25 2024 12:44:57,2024,9,25,12,44,57,0,2,269,39,0,45897,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:57,2024,9,25,12,44,57,0,2,269,39,0,45897,Afternoon,GPN-0159-LEN-CLI--AR12-01,GPN,0159,LEN,CLI,,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0159-LEN-CLI--AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
Sep 25 2024 12:44:58,2024,9,25,12,44,58,0,2,269,39,0,45898,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:59,2024,9,25,12,44,59,0,2,269,39,0,45899,Afternoon,GPN-0669-ROO-NAT-RES-AR12-01,GPN,0669,ROO,NAT,RES,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0669-ROO-NAT-RES-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:58,2024,9,25,12,44,58,0,2,269,39,0,45898,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:58,2024,9,25,12,44,58,0,2,269,39,0,45898,Afternoon,GPN-0200-BEN-ROA-TRA-AR12-01,GPN,0200,BEN,ROA,TRA,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0200-BEN-ROA-TRA-AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
